날짜,일합계
2023-01-01 00:00:00,1268
2023-01-02 00:00:00,365
2023-01-03 00:00:00,345
2023-01-04 00:00:00,428
2023-01-05 00:00:00,439
2023-01-06 00:00:00,424
2023-01-07 00:00:00,878
2023-01-08 00:00:00,1260
2023-01-09 00:00:00,542
2023-01-10 00:00:00,608
2023-01-11 00:00:00,578
2023-01-12 00:00:00,960
2023-01-13 00:00:00,235
2023-01-14 00:00:00,542
2023-01-15 00:00:00,499
2023-01-16 00:00:00,317
2023-01-17 00:00:00,356
2023-01-18 00:00:00,356
2023-01-19 00:00:00,453
2023-01-20 00:00:00,252
2023-01-21 00:00:00,795
2023-01-22 00:00:00,1146
2023-01-23 00:00:00,2810
2023-01-24 00:00:00,209
2023-01-25 00:00:00,135
2023-01-26 00:00:00,288
2023-01-27 00:00:00,1206
2023-01-28 00:00:00,1930
2023-01-29 00:00:00,1210
2023-01-30 00:00:00,411
2023-01-31 00:00:00,509
2023-02-01 00:00:00,500
2023-02-02 00:00:00,468
2023-02-03 00:00:00,476
2023-02-04 00:00:00,2439
2023-02-05 00:00:00,2909
2023-02-06 00:00:00,779
2023-02-07 00:00:00,725
2023-02-08 00:00:00,749
2023-02-09 00:00:00,906
2023-02-10 00:00:00,570
2023-02-11 00:00:00,4339
2023-02-12 00:00:00,4164
2023-02-13 00:00:00,968
2023-02-14 00:00:00,884
2023-02-15 00:00:00,886
2023-02-16 00:00:00,727
2023-02-17 00:00:00,1121
2023-02-18 00:00:00,2880
2023-02-19 00:00:00,2869
2023-02-20 00:00:00,811
2023-02-21 00:00:00,627
2023-02-22 00:00:00,898
2023-02-23 00:00:00,1425
2023-02-24 00:00:00,1658
2023-02-25 00:00:00,3987
2023-02-26 00:00:00,5228
2023-02-27 00:00:00,3538
2023-02-28 00:00:00,3603
2023-03-01 00:00:00,7457
2023-03-02 00:00:00,768
2023-03-03 00:00:00,792
2023-03-04 00:00:00,7806
2023-03-05 00:00:00,9254
2023-03-06 00:00:00,1039
2023-03-07 00:00:00,1119
2023-03-08 00:00:00,792
2023-03-09 00:00:00,632
2023-03-10 00:00:00,1533
2023-03-11 00:00:00,15428
2023-03-12 00:00:00,539
2023-03-13 00:00:00,551
2023-03-14 00:00:00,1070
2023-03-15 00:00:00,914
2023-03-16 00:00:00,898
2023-03-17 00:00:00,1179
2023-03-18 00:00:00,11932
2023-03-19 00:00:00,12194
2023-03-20 00:00:00,1353
2023-03-21 00:00:00,1544
2023-03-22 00:00:00,1525
2023-03-23 00:00:00,3426
2023-03-24 00:00:00,1677
2023-03-25 00:00:00,13180
2023-03-26 00:00:00,19974
2023-03-27 00:00:00,2008
2023-03-28 00:00:00,1983
2023-03-29 00:00:00,2199
2023-03-30 00:00:00,2758
2023-03-31 00:00:00,4248
2023-04-01 00:00:00,24827
2023-04-02 00:00:00,26129
2023-04-03 00:00:00,7318
2023-04-04 00:00:00,3674
2023-04-05 00:00:00,248
2023-04-06 00:00:00,859
2023-04-07 00:00:00,3409
2023-04-08 00:00:00,13460
2023-04-09 00:00:00,15723
2023-04-10 00:00:00,3076
2023-04-11 00:00:00,542
2023-04-12 00:00:00,1802
2023-04-13 00:00:00,4630
2023-04-14 00:00:00,3123
2023-04-15 00:00:00,3738
2023-04-16 00:00:00,8295
2023-04-17 00:00:00,7058
2023-04-18 00:00:00,810
2023-04-19 00:00:00,4066
2023-04-20 00:00:00,2688
2023-04-21 00:00:00,5455
2023-04-22 00:00:00,14297
2023-04-23 00:00:00,14121
2023-04-24 00:00:00,3371
2023-04-25 00:00:00,1048
2023-04-26 00:00:00,3444
2023-04-27 00:00:00,7353
2023-04-28 00:00:00,5908
2023-04-29 00:00:00,13909
2023-04-30 00:00:00,17773
2023-05-01 00:00:00,18777
2023-05-02 00:00:00,3720
2023-05-03 00:00:00,4919
2023-05-04 00:00:00,6185
2023-05-05 00:00:00,1286
2023-05-06 00:00:00,941
2023-05-07 00:00:00,8043
2023-05-08 00:00:00,3305
2023-05-09 00:00:00,3769
2023-05-10 00:00:00,4410
2023-05-11 00:00:00,6468
2023-05-12 00:00:00,6220
2023-05-13 00:00:00,16168
2023-05-14 00:00:00,15901
2023-05-15 00:00:00,3859
2023-05-16 00:00:00,4721
2023-05-17 00:00:00,4850
2023-05-18 00:00:00,5966
2023-05-19 00:00:00,7478
2023-05-20 00:00:00,16102
2023-05-21 00:00:00,15214
2023-05-22 00:00:00,4135
2023-05-23 00:00:00,5286
2023-05-24 00:00:00,6226
2023-05-25 00:00:00,7652
2023-05-26 00:00:00,6831
2023-05-27 00:00:00,4392
2023-05-28 00:00:00,23283
2023-05-29 00:00:00,15771
2023-05-30 00:00:00,4358
2023-05-31 00:00:00,7039
2023-06-01 00:00:00,5057
2023-06-02 00:00:00,4943
2023-06-03 00:00:00,16661
2023-06-04 00:00:00,18113
2023-06-05 00:00:00,9332
2023-06-06 00:00:00,19754
2023-06-07 00:00:00,2314
2023-06-08 00:00:00,2180
2023-06-09 00:00:00,2712
2023-06-10 00:00:00,6621
2023-06-11 00:00:00,7252
2023-06-12 00:00:00,2158
2023-06-13 00:00:00,2238
2023-06-14 00:00:00,1942
2023-06-15 00:00:00,2030
2023-06-16 00:00:00,2162
2023-06-17 00:00:00,7570
2023-06-18 00:00:00,5725
2023-06-19 00:00:00,967
2023-06-20 00:00:00,1390
2023-06-21 00:00:00,495
2023-06-22 00:00:00,2088
2023-06-23 00:00:00,1713
2023-06-24 00:00:00,5590
2023-06-25 00:00:00,3946
2023-06-26 00:00:00,375
2023-06-27 00:00:00,15950
2023-06-28 00:00:00,1011
2023-06-29 00:00:00,131
2023-06-30 00:00:00,1794
2023-07-01 00:00:00,2821
2023-07-02 00:00:00,2872
2023-07-03 00:00:00,545
2023-07-04 00:00:00,419
2023-07-05 00:00:00,855
2023-07-06 00:00:00,795
2023-07-07 00:00:00,834
2023-07-08 00:00:00,4459
2023-07-09 00:00:00,1053
2023-07-10 00:00:00,559
2023-07-11 00:00:00,430
2023-07-12 00:00:00,923
2023-07-13 00:00:00,132
2023-07-14 00:00:00,166
2023-07-15 00:00:00,1324
2023-07-16 00:00:00,1889
2023-07-17 00:00:00,851
2023-07-18 00:00:00,392
2023-07-19 00:00:00,1244
2023-07-20 00:00:00,1042
2023-07-21 00:00:00,2577
2023-07-22 00:00:00,2173
2023-07-23 00:00:00,392
2023-07-24 00:00:00,1150
2023-07-25 00:00:00,12014
2023-07-26 00:00:00,1002
2023-07-27 00:00:00,1014
2023-07-28 00:00:00,900
2023-07-29 00:00:00,1549
2023-07-30 00:00:00,1459
2023-07-31 00:00:00,1290
2023-08-01 00:00:00,1032
2023-08-02 00:00:00,896
2023-08-03 00:00:00,757
2023-08-04 00:00:00,715
2023-08-05 00:00:00,1009
2023-08-06 00:00:00,841
2023-08-07 00:00:00,432
2023-08-08 00:00:00,437
2023-08-09 00:00:00,614
2023-08-10 00:00:00,54
2023-08-11 00:00:00,400
2023-08-12 00:00:00,4591
2023-08-13 00:00:00,5847
2023-08-14 00:00:00,1573
2023-08-15 00:00:00,3626
2023-08-16 00:00:00,1430
2023-08-17 00:00:00,747
2023-08-18 00:00:00,523
2023-08-19 00:00:00,1969
2023-08-20 00:00:00,2441
2023-08-21 00:00:00,615
2023-08-22 00:00:00,398
2023-08-23 00:00:00,273
2023-08-24 00:00:00,588
2023-08-25 00:00:00,832
2023-08-26 00:00:00,5372
2023-08-27 00:00:00,9460
2023-08-28 00:00:00,302
2023-08-29 00:00:00,203
2023-08-30 00:00:00,557
2023-08-31 00:00:00,1374
2023-09-01 00:00:00,1401
2023-09-02 00:00:00,10082
2023-09-03 00:00:00,6528
2023-09-04 00:00:00,1689
2023-09-05 00:00:00,974
2023-09-06 00:00:00,1017
2023-09-07 00:00:00,1141
2023-09-08 00:00:00,1705
2023-09-09 00:00:00,8358
2023-09-10 00:00:00,9018
2023-09-11 00:00:00,1391
2023-09-12 00:00:00,1124
2023-09-13 00:00:00,716
2023-09-14 00:00:00,2969
2023-09-15 00:00:00,535
2023-09-16 00:00:00,4664
2023-09-17 00:00:00,7474
2023-09-18 00:00:00,1782
2023-09-19 00:00:00,2269
2023-09-20 00:00:00,459
2023-09-21 00:00:00,3053
2023-09-22 00:00:00,3056
2023-09-23 00:00:00,13095
2023-09-24 00:00:00,15138
2023-09-25 00:00:00,1631
2023-09-26 00:00:00,374
2023-09-27 00:00:00,788
2023-09-28 00:00:00,11864
2023-09-29 00:00:00,20239
2023-09-30 00:00:00,13801
2023-10-01 00:00:00,22044
2023-10-02 00:00:00,23408
2023-10-03 00:00:00,15126
2023-10-04 00:00:00,3061
2023-10-05 00:00:00,2908
2023-10-06 00:00:00,4154
2023-10-07 00:00:00,14177
2023-10-08 00:00:00,16657
2023-10-09 00:00:00,15218
2023-10-10 00:00:00,2761
2023-10-11 00:00:00,3679
2023-10-12 00:00:00,3844
2023-10-13 00:00:00,4995
2023-10-14 00:00:00,3007
2023-10-15 00:00:00,16859
2023-10-16 00:00:00,3380
2023-10-17 00:00:00,5117
2023-10-18 00:00:00,5465
2023-10-19 00:00:00,1118
2023-10-20 00:00:00,6287
2023-10-21 00:00:00,12618
2023-10-22 00:00:00,15168
2023-10-23 00:00:00,3183
2023-10-24 00:00:00,3832
2023-10-25 00:00:00,4366
2023-10-26 00:00:00,4150
2023-10-27 00:00:00,6039
2023-10-28 00:00:00,20841
2023-10-29 00:00:00,32527
2023-10-30 00:00:00,4739
2023-10-31 00:00:00,3830
2023-11-01 00:00:00,3047
2023-11-02 00:00:00,4554
2023-11-03 00:00:00,2612
2023-11-04 00:00:00,16512
2023-11-05 00:00:00,2015
2023-11-06 00:00:00,670
2023-11-07 00:00:00,1894
2023-11-08 00:00:00,2199
2023-11-09 00:00:00,1932
2023-11-10 00:00:00,2067
2023-11-11 00:00:00,4012
2023-11-12 00:00:00,3466
2023-11-13 00:00:00,734
2023-11-14 00:00:00,2941
2023-11-15 00:00:00,1223
2023-11-16 00:00:00,270
2023-11-17 00:00:00,1028
2023-11-18 00:00:00,2146
2023-11-19 00:00:00,4039
2023-11-20 00:00:00,946
2023-11-21 00:00:00,1128
2023-11-22 00:00:00,1257
2023-11-23 00:00:00,903
2023-11-24 00:00:00,447
2023-11-25 00:00:00,1326
2023-11-26 00:00:00,23604
2023-11-27 00:00:00,276
2023-11-28 00:00:00,607
2023-11-29 00:00:00,316
2023-11-30 00:00:00,208
2023-12-01 00:00:00,277
2023-12-02 00:00:00,1150
2023-12-03 00:00:00,1590
2023-12-04 00:00:00,554
2023-12-05 00:00:00,542
2023-12-06 00:00:00,318
2023-12-07 00:00:00,553
2023-12-08 00:00:00,888
2023-12-09 00:00:00,5337
2023-12-10 00:00:00,5776
2023-12-11 00:00:00,119
2023-12-12 00:00:00,451
2023-12-13 00:00:00,569
2023-12-14 00:00:00,171
2023-12-15 00:00:00,77
2023-12-16 00:00:00,553
2023-12-17 00:00:00,5644
2023-12-18 00:00:00,624
2023-12-19 00:00:00,282
2023-12-20 00:00:00,267
2023-12-21 00:00:00,102
2023-12-22 00:00:00,2823
2023-12-23 00:00:00,338
2023-12-24 00:00:00,904
2023-12-25 00:00:00,732
2023-12-26 00:00:00,547
2023-12-27 00:00:00,643
2023-12-28 00:00:00,518
2023-12-29 00:00:00,651
2023-12-30 00:00:00,344
2023-12-31 00:00:00,950
